username,passwd
superman,H8VfSbT6
batman,BkDJIvux
wonderwoman,vVZJheOs
spiderman,bP0lUCgw
ironman,qxXsooox
thor,a8wER8tg
hulk,W4j4pk2f
captainamerica,RklKhR5a
blackwidow,9PmoeVA7
doctorstrange,h7CpXeay
flash,xxXDQOkV
greenlantern,RxSISXqA
aquaman,97pVYKPY
cyborg,USgetLIF
wolverine,i3KI22OX
blackpanther,7vK615te
daredevil,1vEmWq06
lukecage,hrsDHb6l
jessicajones,Tpr2Wt3J
ironfist,28OoCTX9
antman,bcomdNNX
wasp,P6OFUAOc
starlord,CFKXTG2P
gamora,mqg7fGFa
rocketraccoon,jUMXntDZ
groot,aRxgA34U
drax,C3q8f6ZZ
scarletwitch,zhDRhQjp
vision,2LnCEkf2
falcon,3zCBTPEm
wintersoldier,OuHYTkTr
hawkeye,Jg8czz2C
quicksilver,dRHHDjGe
warmachine,OosOERYc
nickfury,WDEGn5I3
deadpool,d1XdrxGv
professorx,cN3W7tQe
cyclops,MeSqRhL2
jeangrey,lJBImAul
beast,ygwlqQnu
nightcrawler,SN59YEnh
storm,fwrFWtqC
rogue,blBq9Fuy
gambit,wMkXbPi7
colossus,wxH3GjTl
silversurfer,lorqterH
greenarrow,ONLkZuNt
shazam,5LTqXl9d
martianmanhunter,i3gnBE1B
hawkgirl,SnnSU6sF
zatanna,NHbKbbz8
johnconstantine,hMFxUk3Z
bluebeetle,8TwKDDL0
boostergold,z6MH2le1
atom,oiWAgBf7
plasticman,UoWRRubI
elongatedman,581d1jag
firestorm,9oGl8AcH
redtornado,Hmph9tqr
vixen,MLUtydl4
drfate,ooVxKVNk
captainmarvel,xtwSXNd9
missmarvel,Djxbk4UY
moonknight,DndvTyfv
shehulk,4Zzmqp2r
ghostrider,UV0051Ci
blade,NdpWFFoi
punisher,mMHHKH0F
hellboy,1u9RcGrz
spawn,WEZKNlbr
sentry,ytxVYtB5
namor,vXT9U2tk
blackbolt,BAQ2LLOv
medusa,Iofg1RRB
karnak,S5bTJElm
crystal,EUOAOOd0
lockjaw,LTBrTJvJ
msmarvel,XJNZuziQ
mockingbird,bKVoRhIY
nova,L7LaG79C
adamwarlock,EE0QpAkr
silversable,yC6EmgBV
squirrelgirl,4D1v333g
songbird,2f7xsSR1
whitetiger,YxMIKPpj
spiderwoman,5ubYDVHU
powergirl,vNmCCoSx
batgirl,cGEy8kM7
catwoman,hTtZjDEu
supergirl,hhaL9dmI
raven,BK0aSkx3
starfire,FK5dch2D
beastboy,tkvrZ2X7
kidflash,LdTBX6Ts
speedy,0AghHw5S
artemis,8ArioFNC
missmartian,31pqxqBj
aqualad,EJkrBMOs
robin,4ODZDdf2
